title,year,country,genres,rating,votes,content_rating,release_date,director,writer,actors,company,runtime_min,budget_usd,gross_usd,summary,crawl_date,source,source_url
The Shining,1980,英国/United Kingdom,剧情/Drama,8.4,927000,R,"June 13, 1980 (United States)",Stanley Kubrick,Stephen King,Jack Nicholson,Warner Bros.,146,19000000,46998772,"《The Shining》是一部1980年上映的英国/United Kingdom剧情/Drama电影。由Stanley Kubrick执导，Stephen King编剧，Jack Nicholson主演。IMDb 用户评分为 8.4 分，评分票数为 927,000，片长 146 分钟。制作公司为 Warner Bros.。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
The Blue Lagoon,1980,美国/United States,冒险/Adventure,5.8,65000,R,"July 2, 1980 (United States)",Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,Columbia Pictures,104,4500000,58853106,"《The Blue Lagoon》是一部1980年上映的美国/United States冒险/Adventure电影。由Randal Kleiser执导，Henry De Vere Stacpoole编剧，Brooke Shields主演。IMDb 用户评分为 5.8 分，评分票数为 65,000，片长 104 分钟。制作公司为 Columbia Pictures。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
Star Wars: Episode V - The Empire Strikes Back,1980,美国/United States,动作/Action,8.7,1200000,PG,"June 20, 1980 (United States)",Irvin Kershner,Leigh Brackett,Mark Hamill,Lucasfilm,124,18000000,538375067,"《Star Wars: Episode V - The Empire Strikes Back》是一部1980年上映的美国/United States动作/Action电影。由Irvin Kershner执导，Leigh Brackett编剧，Mark Hamill主演。IMDb 用户评分为 8.7 分，评分票数为 1,200,000，片长 124 分钟。制作公司为 Lucasfilm。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
Airplane!,1980,美国/United States,喜剧/Comedy,7.7,221000,PG,"July 2, 1980 (United States)",Jim Abrahams,Jim Abrahams,Robert Hays,Paramount Pictures,88,3500000,83453539,"《Airplane!》是一部1980年上映的美国/United States喜剧/Comedy电影。由Jim Abrahams执导，Jim Abrahams编剧，Robert Hays主演。IMDb 用户评分为 7.7 分，评分票数为 221,000，片长 88 分钟。制作公司为 Paramount Pictures。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
Caddyshack,1980,美国/United States,喜剧/Comedy,7.3,108000,R,"July 25, 1980 (United States)",Harold Ramis,Brian Doyle-Murray,Chevy Chase,Orion Pictures,98,6000000,39846344,"《Caddyshack》是一部1980年上映的美国/United States喜剧/Comedy电影。由Harold Ramis执导，Brian Doyle-Murray编剧，Chevy Chase主演。IMDb 用户评分为 7.3 分，评分票数为 108,000，片长 98 分钟。制作公司为 Orion Pictures。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
Friday the 13th,1980,美国/United States,恐怖/Horror,6.4,123000,R,"May 9, 1980 (United States)",Sean S. Cunningham,Victor Miller,Betsy Palmer,Paramount Pictures,95,550000,39754601,"《Friday the 13th》是一部1980年上映的美国/United States恐怖/Horror电影。由Sean S. Cunningham执导，Victor Miller编剧，Betsy Palmer主演。IMDb 用户评分为 6.4 分，评分票数为 123,000，片长 95 分钟。制作公司为 Paramount Pictures。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
The Blues Brothers,1980,美国/United States,动作/Action,7.9,188000,R,"June 20, 1980 (United States)",John Landis,Dan Aykroyd,John Belushi,Universal Pictures,133,27000000,115229890,"《The Blues Brothers》是一部1980年上映的美国/United States动作/Action电影。由John Landis执导，Dan Aykroyd编剧，John Belushi主演。IMDb 用户评分为 7.9 分，评分票数为 188,000，片长 133 分钟。制作公司为 Universal Pictures。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
Raging Bull,1980,美国/United States,传记/Biography,8.2,330000,R,"December 19, 1980 (United States)",Martin Scorsese,Jake LaMotta,Robert De Niro,Chartoff-Winkler Productions,129,18000000,23402427,"《Raging Bull》是一部1980年上映的美国/United States传记/Biography电影。由Martin Scorsese执导，Jake LaMotta编剧，Robert De Niro主演。IMDb 用户评分为 8.2 分，评分票数为 330,000，片长 129 分钟。制作公司为 Chartoff-Winkler Productions。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
Superman II,1980,美国/United States,动作/Action,6.8,101000,PG,"June 19, 1981 (United States)",Richard Lester,Jerry Siegel,Gene Hackman,Dovemead Films,127,54000000,108185706,"《Superman II》是一部1980年上映的美国/United States动作/Action电影。由Richard Lester执导，Jerry Siegel编剧，Gene Hackman主演。IMDb 用户评分为 6.8 分，评分票数为 101,000，片长 127 分钟。制作公司为 Dovemead Films。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
The Long Riders,1980,美国/United States,传记/Biography,7,10000,R,"May 16, 1980 (United States)",Walter Hill,Bill Bryden,David Carradine,United Artists,100,10000000,15795189,"《The Long Riders》是一部1980年上映的美国/United States传记/Biography电影。由Walter Hill执导，Bill Bryden编剧，David Carradine主演。IMDb 用户评分为 7 分，评分票数为 10,000，片长 100 分钟。制作公司为 United Artists。",2026-09-08,movie-stats public dataset (originally collected from IMDb),https://raw.githubusercontent.com/danielgrijalva/movie-stats/master/movies.csv
